Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C8, C9",1206,11,100n,
"C2, C4, C6",CP_Radial_D5.0mm_P2.00mm,3,100u,
"C3, C5, C7",CP_Radial_D5.0mm_P2.00mm,3,47u,
J1,MOLEX_39281243,1,ATX-24,
"J10, J11, J8, J9",AMPHENOL_86093968114T55F1LF,4,~,
J6,SAMTEC_PCIE-098-02-X-D-RA,1,pBITzBus,
J7,IDC-Header_2x10_P2.54mm_Vertical,1,Conn_02x10_Odd_Even,
Q1,SOT-23,1,BSS138,
"R1, R5, R6, R8",1206,4,10k,
"R19, R20",1206,2,4k7,
"RN10, RN5, RN6, RN7, RN8, RN9",R_Array_SIP14,6,4614X-101-472LF,
U1,DIP-8_W7.62mm,1,ATtiny85-20P,
