Designator,Mid X,Mid Y,Rotation,Layer
C1,340.466157,-382.62758,90.0,top
C10,208.683608,-334.1624,0.0,top
C11,228.974,-334.1624,0.0,top
C12,161.077008,-334.1624,0.0,top
C13,181.397008,-334.1624,0.0,top
C14,201.717008,-334.1624,0.0,top
C15,222.037008,-334.1624,0.0,top
C16,277.629037,-223.254308,0.0,top
C17,277.629037,-225.764308,0.0,top
C2,336.4714,-399.975113,90.0,top
C3,336.4714,-394.275113,90.0,top
C4,324.5714,-394.275113,90.0,top
C5,324.6714,-399.975113,90.0,top
C6,330.5714,-399.975113,90.0,top
C7,330.5714,-394.32,90.0,top
C8,168.043608,-334.1624,0.0,top
C9,188.363608,-334.1624,0.0,top
D1,330.5714,-382.325,90.0,top
D2,324.5714,-382.225,90.0,top
H14,182.766,-198.12,0.0,top
H15,385.966,-353.06,0.0,top
H16,182.7714,-353.06,0.0,top
H17,293.0714,-352.72,0.0,top
H18,293.071456,-424.120944,0.0,top
H19,228.4914,-198.12,0.0,top
H20,385.9714,-425.45,0.0,top
H21,202.1702,-352.719944,0.0,top
H22,228.4914,-425.45,0.0,top
H23,202.1702,-424.120944,0.0,top
H24,385.966,-220.98,0.0,top
H25,162.4514,-353.06,0.0,top
H26,228.4914,-353.06,0.0,top
J1,349.0766,-414.1996,180.0,top
J10,184.836408,-282.49,270.0,top
J11,164.516408,-282.49,270.0,top
J6,309.6569,-219.8345,180.0,top
J7,262.248,-340.1314,90.0,top
J8,225.476408,-282.49,270.0,top
J9,205.156408,-282.49,270.0,top
Q1,351.8338,-380.6444,270.0,top
R1,345.7886,-381.1524,180.0,top
R19,324.5714,-387.12,0.0,top
R20,330.4714,-387.12,0.0,top
R5,342.1964,-393.67,180.0,top
R6,351.4714,-396.32,90.0,top
R8,348.8714,-396.32,270.0,top
RN10,254.145167,-261.933413,90.0,top
RN5,260.5716,-298.45,90.0,top
RN6,257.3712,-298.45,90.0,top
RN7,254.145167,-298.433213,90.0,top
RN8,260.5208,-261.9502,90.0,top
RN9,257.3712,-261.9502,90.0,top
SW1,344.4982,-377.6726,270.0,top
U1,347.0586,-387.599,90.0,top
