Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C16",0603,2,1u,
"C10, C6, C7, C9",0603,4,22p,
"C11, C12, C13, C5",CP_Radial_D5.0mm_P2.50mm,4,100u,
"C14, C15, C2, C3",0603,4,100n,
"C4, C8",0603,2,10u,
"F1, F2, F3, F4",1206,4,1206L050YR,
J1,USB3_A_Molex_48406-0001_Horizontal_Stacked,1,USB3_A_Stacked,
"J2, J3",PinHeader_1x04_P2.54mm_Vertical,2,Conn_01x04,
J4,AMPHENOL_10067847-001RLF,1,10067847-001RLF,
J5,IDC-Header_2x10_P2.54mm_Vertical,1,Conn_02x10_Odd_Even,
"R1, R2",0603,2,100k,
R3,0603,1,2k7,
"R4, R5",0603,2,33,
"R6, R7",0603,2,10k,
U1,SSOP-28_5.3x10.2mm_P0.65mm,1,FE1.1S-BSOP28BCN,
U2,QFN50P500X500X80-33N,1,MAX3421EETJ_T,
"U3, U4",SOIC-16_3.9x9.9mm_P1.27mm,2,CD74HC4050M96,
"Y1, Y2",Crystal_HC49-U_Vertical,2,ABL-12.000MHZ-B2,
